doc,sentence,word,pos,prev,next,tag
,,Jl,PROPN,Atas,.,O
,,.,PUNCT,Jl,Jend,O
,,Jend,PROPN,.,.,O
,,.,PUNCT,Jend,Sudirman,O
,,Sudirman,PROPN,.,Kel,O
,,Kel,PROPN,Sudirman,.,O
,,.,PUNCT,Kel,Setiabudi,O
,,Setiabudi,PROPN,.,Kec,O
,,Kec,PROPN,Setiabudi,.,O
,,.,PUNCT,Kec,Setiabudi,O
,,Setiabudi,PROPN,.,.,O
,,.,PUNCT,Setiabudi,",",O
,,",",PUNCT,.,Jakarta,O
,,Jakarta,PROPN,",",Selatan,O
,,Selatan,PROPN,Jakarta,saatterdakwa,O
,,saatterdakwa,PUNCT,Selatan,merasa,O
,,merasa,ADV,saatterdakwa,kesal,O
,,kesal,ADV,merasa,dengan,O
,,dengan,ADV,kesal,saksi,O
,,saksi,NOUN,dengan,korban,O
,,korban,NOUN,saksi,Windiky,O
,,Windiky,PUNCT,korban,Septian,O
,,Septian,PROPN,Windiky,Alias,O
,,Alias,PROPN,Septian,Diki,O
,,Diki,PROPN,Alias,(,O
,,(,PUNCT,Diki,selanjutnya,O
,,selanjutnya,ADV,(,disebut,O
,,disebut,ADV,selanjutnya,korban,O
,,korban,NOUN,disebut,),O
,,),PUNCT,korban,karena,O
,,karena,ADV,),merasa,O
,,merasa,ADV,karena,temannya,O
,,temannya,ADV,merasa,yaitu,O
,,yaitu,ADV,temannya,saksi,O
,,saksi,NOUN,yaitu,Iwan,O
,,Iwan,PROPN,saksi,akan,O
,,akan,AUX,Iwan,dilukai,O
,,dilukai,VERB,akan,oleh,O
,,oleh,ADP,dilukai,korban,O
,,korban,NOUN,oleh,",",O
,,",",PUNCT,korban,sebagai,O
,,sebagai,ADV,",",teman,O
,,teman,ADV,sebagai,dari,O
,,dari,ADP,teman,saksi,O
,,saksi,NOUN,dari,Iwan,O
,,Iwan,PROPN,saksi,terdakwa,O
,,terdakwa,PROPN,Iwan,ingin,O
,,ingin,ADV,terdakwa,membela,O
,,membela,VERB,ingin,saksi,O
,,saksi,NOUN,membela,Iwan,O
,,Iwan,PROPN,saksi,sehingga,O
,,sehingga,ADV,Iwan,mendatangi,O
,,mendatangi,VERB,sehingga,korban,O
,,korban,NOUN,mendatangi,dengan,O
,,dengan,ADV,korban,mengatakan,O
,,mengatakan,ADV,dengan,"""",O
,,"""",PUNCT,mengatakan,lo,O
,,lo,PROPN,"""",mau,O
,,mau,ADV,lo,makan,O
,,makan,NOUN,mau,Iwan,O
,,Iwan,PROPN,makan,sambil,O
,,sambil,ADV,Iwan,memukul,O
,,memukul,VERB,sambil,-,O
,,-,PUNCT,memukul,mukul,O
,,mukul,NOUN,-,kepala,O
,,kepala,NOUN,mukul,korban,O
,,korban,NOUN,kepala,menggunakan,O
,,menggunakan,VERB,korban,kedua,O
,,kedua,ADJ,menggunakan,tangannya,O
,,tangannya,ADV,kedua,kemudian,O
,,kemudian,ADV,tangannya,terdakwa,O
,,terdakwa,PROPN,kemudian,mengeluarkan,O
,,mengeluarkan,VERB,terdakwa,senjata,O
,,senjata,NOUN,mengeluarkan,tajam,O
,,tajam,ADJ,senjata,berupa,O
,,berupa,ADV,tajam,sebilah,O
,,sebilah,NOUN,berupa,badik,O
,,badik,NOUN,sebilah,dari,O
,,dari,ADP,badik,dalam,O
,,dalam,ADP,dari,pakaiannya,O
,,pakaiannya,ADV,dalam,kemadian,O
,,kemadian,PUNCT,pakaiannya,menghunuskan,O
,,menghunuskan,VERB,kemadian,/,O
,,/,PUNCT,menghunuskan,menusukkan,O
,,menusukkan,VERB,/,senjata,O
,,senjata,NOUN,menusukkan,tajam,O
,,tajam,ADJ,senjata,tersebut,O
,,tersebut,DET,tajam,ke,O
,,ke,ADP,tersebut,arah,O
,,arah,NOUN,ke,pahakaki,O
,,pahakaki,PUNCT,arah,kiri,O
,,kiri,NOUN,pahakaki,korban,O
,,korban,NOUN,kiri,sebanyak,O
,,sebanyak,ADV,korban,1,O
,,1,NUM,sebanyak,(,O
,,(,PUNCT,1,satu,O
,,satu,NUM,(,),O
,,),PUNCT,satu,kali,O
,,kali,ADV,),hingga,O
,,hingga,ADV,kali,menembus,O
,,menembus,VERB,hingga,kulit,O
,,kulit,NOUN,menembus,maupun,O
,,maupun,CCONJ,kulit,daging,O
,,daging,NOUN,maupun,pada,O
,,pada,ADP,daging,paha,O
,,paha,NOUN,pada,kaki,O
,,kaki,NOUN,paha,kiri,O
,,kiri,NOUN,kaki,korban,O
,,korban,NOUN,kiri,hingga,O
,,hingga,ADV,korban,mengeluarkan,O
,,mengeluarkan,VERB,hingga,banyak,O
,,banyak,ADV,mengeluarkan,darah,O
,,darah,NOUN,banyak,namun,O
,,namun,ADV,darah,korban,O
,,korban,NOUN,namun,berusaha,O
,,berusaha,ADV,korban,memegangi,O
,,memegangi,VERB,berusaha,tangan,O
,,tangan,NOUN,memegangi,kanan,O
,,kanan,NOUN,tangan,terdakwa,O
,,terdakwa,PROPN,kanan,lalu,O
,,lalu,ADV,terdakwa,terdakwa,O
,,terdakwa,PROPN,lalu,mengatakan,O
,,mengatakan,ADV,terdakwa,kepada,O
,,kepada,ADP,mengatakan,korban,O
,,korban,NOUN,kepada,"""",O
,,"""",PUNCT,korban,cabutlah,O
,,cabutlah,ADV,"""",kausehingga,O
,,kausehingga,PUNCT,cabutlah,korban,O
,,korban,NOUN,kausehingga,pergi,O
,,pergi,ADV,korban,dan,O
,,dan,CCONJ,pergi,melaporkan,O
,,melaporkan,VERB,dan,kejadian,O
,,kejadian,NOUN,melaporkan,tersebut,O
,,tersebut,DET,kejadian,ke,O
,,ke,ADP,tersebut,Polsek,O
,,Polsek,PROPN,ke,Metro,O
,,Metro,PROPN,Polsek,Setiabudi,O
,,Setiabudi,PROPN,Metro,Jakarta,O
,,Jakarta,PROPN,Setiabudi,Selatan,O
,,Selatan,PROPN,Jakarta,.,O
,,.,PUNCT,Selatan,selanjutnya,O
,,selanjutnya,ADV,.,terdakwa,O
,,terdakwa,PROPN,selanjutnya,berikut,O
,,berikut,ADV,terdakwa,barang,O
,,barang,NOUN,berikut,bukti,O
,,bukti,NOUN,barang,berhasil,O
,,berhasil,ADV,bukti,di,O
,,di,ADP,berhasil,tangkap,O
,,tangkap,NOUN,di,dan,O
,,dan,CCONJ,tangkap,diamankan,O
,,diamankan,VERB,dan,oleh,O
,,oleh,ADP,diamankan,Petugas,O
,,Petugas,PROPN,oleh,Kepolisian,O
,,Kepolisian,PROPN,Petugas,ke,O
,,ke,ADP,Kepolisian,Polsek,O
,,Polsek,PROPN,ke,Metro,O
,,Metro,PROPN,Polsek,Setiabudi,O
,,Setiabudi,PROPN,Metro,Jakarta,O
,,Jakarta,PROPN,Setiabudi,Selatan,O
,,Selatan,PROPN,Jakarta,guna,O
,,guna,NOUN,Selatan,Pengusutan,O
,,Pengusutan,PROPN,guna,lebih,O
,,lebih,ADV,Pengusutan,lanjut,O
,,lanjut,ADV,lebih,;,O
,,;,PUNCT,lanjut,Bahwa,O
,sentence: 0097273,Bahwa,SCONJ,;,akibat,O
,,akibat,NOUN,Bahwa,perbuatan,O
,,perbuatan,NOUN,akibat,terdakwa,O
,,terdakwa,PROPN,perbuatan,NURCHOLIS,O
,,NURCHOLIS,PROPN,terdakwa,Alias,B_DEFN
,,Alias,PROPN,NURCHOLIS,RONI,I_DEFN
,,RONI,PROPN,Alias,terhadap,I_DEFN
,,terhadap,ADV,RONI,saksi,O
,,saksi,NOUN,terhadap,korban,O
,,korban,NOUN,saksi,Windiky,O
,,Windiky,PUNCT,korban,Septian,O
,,Septian,PROPN,Windiky,Attas,O
,,Attas,PROPN,Septian,Diki,O
,,Diki,PROPN,Attas,mengalami,O
,,mengalami,VERB,Diki,luka,O
,,luka,NOUN,mengalami,-,O
,,-,PUNCT,luka,luka,O
,,luka,NOUN,-,sebagaimana,O
,,sebagaimana,ADV,luka,hasil,O
,,hasil,NOUN,sebagaimana,Visum,O
,,Visum,PROPN,hasil,Et,O
,,Et,PROPN,Visum,Repertum,O
,,Repertum,PROPN,Et,dari,O
,,dari,ADP,Repertum,Rumah,O
,,Rumah,PROPN,dari,Sakit,O
,,Sakit,PROPN,Rumah,Bhayangkara,O
,,Bhayangkara,PROPN,Sakit,TK,O
,,TK,PROPN,Bhayangkara,I,O
,,I,NUM,TK,R,O
,,R,PROPN,I,.,O
,,.,PUNCT,R,Said,O
,,Said,PROPN,.,Sukanto,O
,,Sukanto,PROPN,Said,No,O
,,No,PROPN,Sukanto,:,O
,,:,PUNCT,No,R,O
,sentence: 0097274,R,PROPN,:,/,O
,,/,PUNCT,R,124,O
,,124,NUM,/,/,O
,,/,PUNCT,124,VER,O
,,VER,PROPN,/,-,O
,,-,PUNCT,VER,IGD,O
,,IGD,PROPN,-,-,O
,,-,PUNCT,IGD,KFDJIV,O
,,KFDJIV,PUNCT,-,/,O
,,/,PUNCT,KFDJIV,2016,O
,,2016,NUM,/,Rumkit,O
,,Rumkit,PROPN,2016,Bhay,O
,,Bhay,PUNCT,Rumkit,Tk,O
,,Tk,PROPN,Bhay,.,O
,,.,PUNCT,Tk,I,O
,,I,NUM,.,tanggal,O
,,tanggal,NOUN,I,4,O
,,4,NUM,tanggal,April,O
,,April,PROPN,4,2016,O
,,2016,NUM,April,perihal,O
,,perihal,ADV,2016,Visum,O
,,Visum,PROPN,perihal,Et,O
,,Et,PROPN,Visum,Repertum,O
,,Repertum,PROPN,Et,yang,O
,,yang,PRON,Repertum,ditandatangani,O
,,ditandatangani,PROPN,yang,oleh,O
,,oleh,ADP,ditandatangani,dokter,O
,,dokter,NOUN,oleh,pemeriksa,O
,,pemeriksa,NOUN,dokter,dr,O
,,dr,PROPN,pemeriksa,.,O
,,.,PUNCT,dr,Henry,O
,,Henry,PROPN,.,dengan,O
,,dengan,ADV,Henry,hasil,O
,,hasil,NOUN,dengan,:,O
,,:,PUNCT,hasil,telah,O
,sentence: 0097275,telah,AUX,:,dilakukan,O
,,dilakukan,VERB,telah,pemeriksaan,O
,,pemeriksaan,NOUN,dilakukan,terhadap,O
,,terhadap,ADV,pemeriksaan,",",O
,,",",PUNCT,terhadap,seseorang,O
,,seseorang,PRON,",",pria,O
,,pria,NOUN,seseorang,yang,O
,,yang,PRON,pria,menurut,O
,,menurut,ADV,yang,keterangan,O
,,keterangan,NOUN,menurut,berusian,O
,,berusian,ADV,keterangan,sembilan,O
,,sembilan,NUM,berusian,belas,O
,,belas,NUM,sembilan,tahun,O
,,tahun,NOUN,belas,.,O
,,.,PUNCT,tahun,pada,O
,,pada,ADP,.,pemeriksaan,O
,,pemeriksaan,NOUN,pada,fisik,O
,,fisik,NOUN,pemeriksaan,didapatkan,O
,,didapatkan,VERB,fisik,luka,O
,,luka,NOUN,didapatkan,terbuka,O
,,terbuka,ADJ,luka,pada,O
,,pada,ADP,terbuka,tungkai,O
,,tungkai,ADJ,pada,atas,O
,,atas,ADP,tungkai,kiri,O
,,kiri,NOUN,atas,akibat,O
,,akibat,NOUN,kiri,kekerasan,O
,,kekerasan,NOUN,akibat,tumpul,O
,,tumpul,ADJ,kekerasan,.,O
,,.,PUNCT,tumpul,luka,O
,,luka,NOUN,.,tersebut,O
,,tersebut,DET,luka,tidak,O
,,tidak,PART,tersebut,rnenyebabkan,O
,,rnenyebabkan,PUNCT,tidak,penyakit,O
,,penyakit,NOUN,rnenyebabkan,atau,O
,,atau,CCONJ,penyakit,halangan,O
,,halangan,ADV,atau,pekerjaan,O
,,pekerjaan,NOUN,halangan,.,O
,,.,PUNCT,pekerjaan,{,O
,,{,PROPN,.,terlampir,O
,,terlampir,ADV,{,dalam,O
,,dalam,ADP,terlampir,Berkas,O
,,Berkas,PROPN,dalam,Perkara,O
,,Perkara,PROPN,Berkas,inj,O
,,inj,PROPN,Perkara,),O
,,),PUNCT,inj,;,O
,,;,PUNCT,),Menimbang,O
,sentence: 0097276,Menimbang,ADV,;,",",O
,,",",PUNCT,Menimbang,bahwa,O
,,bahwa,SCONJ,",",selanjutnya,O
,,selanjutnya,ADV,bahwa,Majelis,O
,,Majelis,PROPN,selanjutnya,hakim,O
,,hakim,NOUN,Majelis,akan,O
,,akan,AUX,hakim,mempertimbangkan,O
,,mempertimbangkan,VERB,akan,apakah,O
,,apakah,ADV,mempertimbangkan,dengan,O
,,dengan,ADV,apakah,adanya,O
,,adanya,ADV,dengan,fakta,O
,,fakta,NOUN,adanya,-,O
,,-,PUNCT,fakta,fakta,O
,,fakta,NOUN,-,hukum,O
,,hukum,NOUN,fakta,yang,O
,,yang,PRON,hukum,telah,O
,,telah,AUX,yang,terungkap,O
,,terungkap,VERB,telah,diatas,O
,,diatas,ADV,terungkap,",",O
,,",",PUNCT,diatas,telah,O
,,telah,AUX,",",dapat,O
,,dapat,AUX,telah,menyatakan,O
,,menyatakan,VERB,dapat,Terdakwa,O
,,Terdakwa,PROPN,menyatakan,bersalah,O
,,bersalah,ADJ,Terdakwa,atau,O
,,atau,CCONJ,bersalah,tidak,O
,,tidak,PART,atau,bersalah,O
,,bersalah,ADJ,tidak,melakukan,O
,,melakukan,VERB,bersalah,perbuatan,O
,,perbuatan,NOUN,melakukan,seperti,O
,,seperti,ADV,perbuatan,yang,O
,,yang,PRON,seperti,didakwakan,O
,,didakwakan,VERB,yang,oleh,O
,,oleh,ADP,didakwakan,Penuntut,O
,,Penuntut,PROPN,oleh,Umum,O
,,Umum,PROPN,Penuntut,kepadanya,O
,,kepadanya,PRON,Umum,:,O
,,:,PUNCT,kepadanya,Menimbang,O
,sentence: 0097277,Menimbang,ADV,:,",",O
,,",",PUNCT,Menimbang,bahwa,O
,,bahwa,SCONJ,",",untuk,O
,,untuk,SCONJ,bahwa,menentukan,O
,,menentukan,ADV,untuk,Terdakwa,O
,,Terdakwa,PROPN,menentukan,bersalah,O
,,bersalah,ADJ,Terdakwa,melakukan,O
,,melakukan,VERB,bersalah,suatu,O
,,suatu,DET,melakukan,tindakan,O
,,tindakan,NOUN,suatu,",",O
,,",",PUNCT,tindakan,maka,O
,,maka,SCONJ,",",harus,O
,,harus,AUX,maka,terlebih,O
,,terlebih,ADV,harus,dahulu,O
,,dahulu,ADV,terlebih,diteliti,O
,,diteliti,VERB,dahulu,apakah,O
,,apakah,ADV,diteliti,fakta,O
,,fakta,NOUN,apakah,-,O
,,-,PUNCT,fakta,fakta,O
,,fakta,NOUN,-,hukum,O
,,hukum,NOUN,fakta,yang,O
,,yang,PRON,hukum,telah,O
,,telah,AUX,yang,terungkap,O
,,terungkap,VERB,telah,tersebut,O
,,tersebut,DET,terungkap,",",O
,,",",PUNCT,tersebut,telah,O
,,telah,AUX,",",memenuhi,O
,,memenuhi,VERB,telah,unsur,O
,,unsur,NOUN,memenuhi,-,O
,,-,PUNCT,unsur,unsur,O
,,unsur,NOUN,-,tindak,O
,,tindak,NOUN,unsur,pidana,O
,,pidana,NOUN,tindak,seperti,O
,,seperti,ADV,pidana,dalam,O
,,dalam,ADP,seperti,Dakwaan,O
,,Dakwaan,PROPN,dalam,Penuntut,O
,,Penuntut,PROPN,Dakwaan,Umum,O
,,Umum,PROPN,Penuntut,;,O
,,;,PUNCT,Umum,Menimbang,O
,sentence: 0097278,Menimbang,ADV,;,",",O
,,",",PUNCT,Menimbang,bahwa,O
,,bahwa,SCONJ,",",oleh,O
,,oleh,ADP,bahwa,Penuntut,O
,,Penuntut,PROPN,oleh,Umum,O
,,Umum,PROPN,Penuntut,Terdakwa,O
,,Terdakwa,PROPN,Umum,telah,O
,,telah,AUX,Terdakwa,didakwa,O
,,didakwa,VERB,telah,dengan,O
,,dengan,ADV,didakwa,Pasal,O
,,Pasal,PROPN,dengan,351,B_ARTV
,,351,NUM,Pasal,Ayat,I_ARTV
,,Ayat,PROPN,351,(,I_ARTV
,,(,PUNCT,Ayat,1,I_ARTV
,,1,NUM,(,),I_ARTV
,,),PUNCT,1,KUHP,I_ARTV
,,KUHP,PROPN,),yang,I_ARTV
,,yang,PRON,KUHP,unsur,O
,,unsur,NOUN,yang,-,O
,,-,PUNCT,unsur,unsurnya,O
,,unsurnya,NOUN,-,adalah,O
,,adalah,AUX,unsurnya,sebagai,O
,,sebagai,ADV,adalah,berikut,O
,,berikut,ADV,sebagai,:,O
,,:,PUNCT,berikut,1,O
,sentence: 0097279,1,NUM,:,Barang,O
,,Barang,PROPN,1,siapa,O
,,siapa,PRON,Barang,;,O
,,;,PUNCT,siapa,.,O
,,.,PUNCT,;,2,O
,,2,NUM,.,Dengan,O
,,Dengan,ADV,2,sengaja,O
,,sengaja,ADV,Dengan,.,O
,,.,PUNCT,sengaja,3,O
,,3,NUM,.,Melakukan,O
,,Melakukan,VERB,3,penganiyaan,O
,,penganiyaan,NOUN,Melakukan,;,O
,,;,PUNCT,penganiyaan,Ad,O
,sentence: 0097280,Ad,PROPN,;,;,O
,,;,PUNCT,Ad,1,O
,sentence: 0097281,1,NUM,;,.,O
,,.,PUNCT,1,Unsur,O
,,Unsur,PROPN,.,Barang,O
,,Barang,PROPN,Unsur,Siapa,O
,,Siapa,PRON,Barang,;,O
,,;,PUNCT,Siapa,Menimbang,O
,sentence: 0097282,Menimbang,ADV,;,",",O
,,",",PUNCT,Menimbang,bahwa,O
,,bahwa,SCONJ,",",yang,O
,,yang,PRON,bahwa,dimaksud,O
,,dimaksud,ADV,yang,dengan,O
,,dengan,ADV,dimaksud,"""",O
,,"""",PUNCT,dengan,unsur,O
,,unsur,NOUN,"""",barang,O
,,barang,NOUN,unsur,siapa,O
,,siapa,PRON,barang,"""",O
,,"""",PUNCT,siapa,dalam,O
,,dalam,ADP,"""",pasal,O
,,pasal,NOUN,dalam,ini,O
,,ini,DET,pasal,adalah,O
,,adalah,AUX,ini,menunjukkan,O
,,menunjukkan,VERB,adalah,tentang,O
,,tentang,ADP,menunjukkan,subyek,O
,,subyek,NOUN,tentang,/,O
,,/,PUNCT,subyek,pelaku,O
,,pelaku,NOUN,/,/,O
,,/,PUNCT,pelaku,siapa,O
,,siapa,PRON,/,yang,O
,,yang,PRON,siapa,didakwa,O
,,didakwa,VERB,yang,melakukan,O
,,melakukan,VERB,didakwa,tindak,O
,,tindak,NOUN,melakukan,pidana,O
,,pidana,NOUN,tindak,dimaksud,O
,,dimaksud,ADV,pidana,",",O
,,",",PUNCT,dimaksud,unsur,O
,,unsur,NOUN,",",ini,O
,,ini,DET,unsur,dimaksudkan,O
,,dimaksudkan,ADV,ini,untuk,O
,,untuk,SCONJ,dimaksudkan,meneliti,O
,,meneliti,VERB,untuk,lebih,O
,,lebih,ADV,meneliti,lanjut,O
,,lanjut,ADV,lebih,tentang,O
,,tentang,ADP,lanjut,siapakah,O
,,siapakah,PRON,tentang,yang,O
,,yang,PRON,siapakah,"""",O
,,"""",PUNCT,yang,duduk,O
,,duduk,NOUN,"""","""",O
,,"""",PUNCT,duduk,sebagai,O
,,sebagai,ADV,"""",terdakwa,O
,,terdakwa,PROPN,sebagai,adalah,O
,,adalah,AUX,terdakwa,benar,O
,,benar,ADV,adalah,-,O
,,-,PUNCT,benar,benar,O
,,benar,ADV,-,pelaku,O
,,pelaku,NOUN,benar,",",O
,,",",PUNCT,pelaku,atau,O
,,atau,CCONJ,",",bukan,O
,,bukan,PART,atau,",",O
,,",",PUNCT,bukan,hal,O
,,hal,NOUN,",",ini,O
,,ini,DET,hal,antara,O
,,antara,ADP,ini,lain,O
,,lain,ADJ,antara,untuk,O
,,untuk,SCONJ,lain,menghindari,O
,,menghindari,ADV,untuk,adanya,O
,,adanya,ADV,menghindari,"""",O
,,"""",PUNCT,adanya,error,O
,,error,PROPN,"""",in,O
,,in,PROPN,error,Persona,O
,,Persona,PROPN,in,"""",O
,,"""",PUNCT,Persona,dalarn,O
,,dalarn,NOUN,"""",menghukum,O
,,menghukum,VERB,dalarn,Seseorang,O
,,Seseorang,PRON,menghukum,kaitannya,O
,,kaitannya,ADV,Seseorang,dengan,O
,,dengan,ADV,kaitannya,Surat,O
,,Surat,PROPN,dengan,dakwaan,O
,,dakwaan,NOUN,Surat,Jaksa,O
,,Jaksa,PROPN,dakwaan,Penuntut,O
,,Penuntut,PROPN,Jaksa,Umum,O
,,Umum,PROPN,Penuntut,yang,O
,,yang,PRON,Umum,keseluruhannya,O
,,keseluruhannya,ADV,yang,menunjuk,O
,,menunjuk,VERB,keseluruhannya,pada,O
,,pada,ADP,menunjuk,diri,O
,,diri,PRON,pada,mereka,O
,,mereka,PRON,diri,terdakwa,O
,,terdakwa,PROPN,mereka,sebagai,O
,,sebagai,ADV,terdakwa,pelaku,O
,,pelaku,NOUN,sebagai,tindak,O
,,tindak,NOUN,pelaku,pidana,O
,,pidana,NOUN,tindak,",",O
,,",",PUNCT,pidana,lebih,O
,,lebih,ADV,",",lanjut,O
,,lanjut,ADV,lebih,dalam,O
,,dalam,ADP,lanjut,pemeriksaan,O
,,pemeriksaan,NOUN,dalam,dipersidangan,O
,,dipersidangan,ADV,pemeriksaan,dengan,O
,,dengan,ADV,dipersidangan,memperhatikan,O
,,memperhatikan,ADV,dengan,identitas,O
,,identitas,NOUN,memperhatikan,kemudian,O
,,kemudian,ADV,identitas,dari,O
,,dari,ADP,kemudian,keterangan,O
,,keterangan,NOUN,dari,saksi,O
,,saksi,NOUN,keterangan,-,O
,,-,PUNCT,saksi,saksi,O
,,saksi,NOUN,-,maupun,O
,,maupun,CCONJ,saksi,keterangan,O
,,keterangan,NOUN,maupun,mereka,O
,,mereka,PRON,keterangan,terdakwa,O
,,terdakwa,PROPN,mereka,",",O
,,",",PUNCT,terdakwa,maka,O
,,maka,SCONJ,",",yang,O
,,yang,PRON,maka,didakwa,O
,,didakwa,VERB,yang,sebagai,O
,,sebagai,ADV,didakwa,pelaku,O
,,pelaku,NOUN,sebagai,dalam,O
,,dalam,ADP,pelaku,perkara,O
,,perkara,NOUN,dalam,ini,O
,,ini,DET,perkara,adalah,O
,,adalah,AUX,ini,terdakwa,O
,,terdakwa,PROPN,adalah,terdakwa,O
,,terdakwa,PROPN,terdakwa,NURCHOLIS,O
,,NURCHOLIS,PROPN,terdakwa,Alias,B_DEFN
,,Alias,PROPN,NURCHOLIS,RONI,I_DEFN
,,RONI,PROPN,Alias,sebagaimana,I_DEFN
,,sebagaimana,ADV,RONI,idertitasrrya,O
,,idertitasrrya,PUNCT,sebagaimana,tersebut,O
,,tersebut,DET,idertitasrrya,diatas,O
,,diatas,ADV,tersebut,;,O
,,;,PUNCT,diatas,Menimbang,O
,sentence: 0097283,Menimbang,ADV,;,",",O
,,",",PUNCT,Menimbang,bahwa,O
,,bahwa,SCONJ,",",dengan,O
,,dengan,ADV,bahwa,dimikian,O
,,dimikian,ADV,dengan,menurut,O
,,menurut,ADV,dimikian,majelis,O
,,majelis,NOUN,menurut,hakim,O
,,hakim,NOUN,majelis,unsur,O
,,unsur,NOUN,hakim,Ad,O
,,Ad,PROPN,unsur,.,O
,,.,PUNCT,Ad,1,O
,,1,NUM,.,telah,O
,,telah,AUX,1,terpenuhi,O
,,terpenuhi,ADV,telah,.,O
,,.,PUNCT,terpenuhi,Hal,O
,,Hal,ADV,.,9,O
,,9,NUM,Hal,dar1,O
,,dar1,PUNCT,9,13,O
,,13,NUM,dar1,halaman,O
,,halaman,NOUN,13,Putusan,O
,,Putusan,PROPN,halaman,No,O
,,No,PROPN,Putusan,.,O
,,.,PUNCT,No,636,O
,,636,NUM,.,/,B_VERN
,,/,PUNCT,636,Pid,I_VERN
,,Pid,PROPN,/,.,I_VERN
,,.,PUNCT,Pid,B,I_VERN
,,B,PROPN,.,/,I_VERN
,,/,PUNCT,B,2016,I_VERN
,,2016,NUM,/,/,I_VERN
,,/,PUNCT,2016,PN,I_VERN
,,PN,PROPN,/,.,I_VERN
,,.,PUNCT,PN,Jkt,I_VERN
,,Jkt,PROPN,.,.,I_VERN
,,.,PUNCT,Jkt,Sel,I_VERN
,,Sel,PROPN,.,.,I_VERN
,,.,PUNCT,Sel,Ad,I_VERN
,,Ad,PROPN,.,;,O
,,;,PUNCT,Ad,2,O
,sentence: 0097284,2,NUM,;,.,O
,,.,PUNCT,2,Unsur,O
,,Unsur,PROPN,.,dengan,O
,,dengan,ADV,Unsur,sengaja,O
,,sengaja,ADV,dengan,;,O
,,;,PUNCT,sengaja,Menimbang,O
,sentence: 0097285,Menimbang,ADV,;,",",O
,,",",PUNCT,Menimbang,bahwa,O
,,bahwa,SCONJ,",",yang,O
,,yang,PRON,bahwa,dimaksud,O
,,dimaksud,ADV,yang,dengan,O
,,dengan,ADV,dimaksud,unsur,O
,,unsur,NOUN,dengan,ini,O
,,ini,DET,unsur,adalah,O
,,adalah,AUX,ini,kesengajaan,O
,,kesengajaan,NOUN,adalah,yaitu,O
,,yaitu,ADV,kesengajaan,;,O
,,;,PUNCT,yaitu,Bahwa,O
,sentence: 0097286,Bahwa,SCONJ,;,benar,O
,,benar,ADV,Bahwa,awalnya,O
,,awalnya,ADV,benar,pada,O
,,pada,ADP,awalnya,hari,O
,,hari,NOUN,pada,Senin,O
,,Senin,PROPN,hari,tanggal,O
,,tanggal,NOUN,Senin,4,O
,,4,NUM,tanggal,April,O
,,April,PROPN,4,2016,O
,,2016,NUM,April,sekira,O
,,sekira,ADV,2016,pukul,O
,,pukul,NOUN,sekira,0,O
,,0,NUM,pukul,",",O
,,",",PUNCT,0,30,O
,,30,NUM,",",Wib,O
,,Wib,PROPN,30,",",O
,,",",PUNCT,Wib,di,O
,,di,ADP,",",Trotoar,O
,,Trotoar,PROPN,di,Dukuh,O
,,Dukuh,PROPN,Trotoar,Atas,O
,,Atas,PROPN,Dukuh,Jl,O
,,Jl,PROPN,Atas,.,O
,,.,PUNCT,Jl,Jend,O
,,Jend,PROPN,.,.,O
,,.,PUNCT,Jend,Sudirman,O
,,Sudirman,PROPN,.,Kel,O
,,Kel,PROPN,Sudirman,.,O
,,.,PUNCT,Kel,Setiabudi,O
,,Setiabudi,PROPN,.,Kec,O
,,Kec,PROPN,Setiabudi,.,O
,,.,PUNCT,Kec,Setiabudi,O
,,Setiabudi,PROPN,.,.,O
,,.,PUNCT,Setiabudi,",",O
,,",",PUNCT,.,Jakarta,O
,,Jakarta,PROPN,",",Selatan,O
,,Selatan,PROPN,Jakarta,saatterdakwa,O
,,saatterdakwa,PUNCT,Selatan,merasa,O
,,merasa,ADV,saatterdakwa,kesal,O
,,kesal,ADV,merasa,dengan,O
,,dengan,ADV,kesal,saksi,O
,,saksi,NOUN,dengan,korban,O
,,korban,NOUN,saksi,Windiky,O
,,Windiky,PUNCT,korban,Septian,O
,,Septian,PROPN,Windiky,Alias,O
,,Alias,PROPN,Septian,Diki,O
,,Diki,PROPN,Alias,(,O
,,(,PUNCT,Diki,selanjutnya,O
,,selanjutnya,ADV,(,disebut,O
,,disebut,ADV,selanjutnya,korban,O
,,korban,NOUN,disebut,),O
,,),PUNCT,korban,karena,O
,,karena,ADV,),merasa,O
,,merasa,ADV,karena,temannya,O
,,temannya,ADV,merasa,yaitu,O
,,yaitu,ADV,temannya,saksi,O
,,saksi,NOUN,yaitu,Iwan,O
,,Iwan,PROPN,saksi,akan,O
,,akan,AUX,Iwan,dilukai,O
,,dilukai,VERB,akan,oleh,O
,,oleh,ADP,dilukai,korban,O
,,korban,NOUN,oleh,",",O
,,",",PUNCT,korban,sebagai,O
,,sebagai,ADV,",",teman,O
,,teman,ADV,sebagai,dari,O
,,dari,ADP,teman,saksi,O
,,saksi,NOUN,dari,Iwan,O
,,Iwan,PROPN,saksi,terdakwa,O
,,terdakwa,PROPN,Iwan,ingin,O
,,ingin,ADV,terdakwa,membela,O
,,membela,VERB,ingin,saksi,O
,,saksi,NOUN,membela,Iwan,O
